time, alt, vknot, gvw, DYNANG, Nmr, Ntr, Nt, N1, N2, N3, Qmr, Qtr, Q1, Q2, Q3, qgas1, qgas2, qgas3, qtotload, qmrload, qtrload
0.576, 3000, 0.01, 46000, 70, 14395.9, 14377.5, 14374.6, 14374.4, 14374.5, 14374.4, 3544.45, 328.968, 1290.52, 1290.59, 1290.52, 1330.27, 1330.27, 1330.27, 3717.25, 3404.82, 312.437,
0.582, 3000, 0.01, 46000, 70, 14396.7, 14378.7, 14376.7, 14376.5, 14376.5, 14376.5, 3541.09, 328.221, 1289.66, 1289.73, 1289.66, 1330.27, 1330.27, 1330.27, 3717.03, 3404.62, 312.41,
0.588, 3000, 0.01, 46000, 70, 14397.5, 14379.8, 14378.8, 14378.6, 14378.6, 14378.6, 3537.94, 327.763, 1288.97, 1289.03, 1288.97, 1330.27, 1330.27, 1330.27, 3716.82, 3404.43, 312.385,
0.594, 3000, 0.01, 46000, 70, 14398.2, 14380.9, 14380.9, 14380.8, 14380.8, 14380.8, 3535.01, 327.613, 1288.45, 1288.48, 1288.45, 1330.27, 1330.27, 1330.27, 3716.61, 3404.25, 312.361,
0.6, 3000, 0.01, 46000, 70, 14399, 14382, 14383, 14383, 14383, 14383, 3532.3, 327.78, 1288.1, 1288.09, 1288.1, 1330.27, 1330.27, 1330.27, 3716.4, 3404.06, 312.337,
0.606, 3000, 0.01, 46000, 70, 14399.8, 14383.1, 14385.2, 14385.2, 14385.2, 14385.2, 3529.82, 328.261, 1287.91, 1287.87, 1287.91, 1330.27, 1330.27, 1330.27, 3716.2, 3403.88, 312.313,
0.612, 3000, 0.01, 46000, 70, 14400.5, 14384.3, 14387.3, 14387.3, 14387.3, 14387.3, 3527.56, 329.039, 1287.88, 1287.82, 1287.88, 1330.27, 1330.27, 1330.27, 3715.99, 3403.7, 312.288,
0.618, 3000, 0.01, 46000, 70, 14401.2, 14385.7, 14389.5, 14389.5, 14389.5, 14389.5, 3525.53, 330.089, 1287.99, 1287.91, 1287.99, 1330.27, 1330.27, 1330.27, 3715.79, 3403.53, 312.262,
0.624, 3000, 0.01, 46000, 70, 14402, 14387.1, 14391.7, 14391.7, 14391.7, 14391.7, 3523.74, 331.374, 1288.22, 1288.15, 1288.22, 1330.27, 1330.27, 1330.27, 3715.58, 3403.35, 312.233,
0.63, 3000, 0.01, 46000, 70, 14402.7, 14388.7, 14393.8, 14393.9, 14393.9, 14393.9, 3522.17, 332.85, 1288.56, 1288.52, 1288.56, 1330.27, 1330.27, 1330.27, 3715.38, 3403.17, 312.201,
0.636, 3000, 0.01, 46000, 70, 14403.5, 14390.5, 14395.9, 14396, 14396, 14396, 3520.83, 334.466, 1288.99, 1288.99, 1288.99, 1330.27, 1330.27, 1330.27, 3715.17, 3403, 312.166,
0.642, 3000, 0.01, 46000, 70, 14404.2, 14392.4, 14398, 14398.2, 14398.2, 14398.2, 3519.72, 336.165, 1289.5, 1289.54, 1289.5, 1330.27, 1330.27, 1330.27, 3714.95, 3402.82, 312.128,
0.648, 3000, 0.01, 46000, 70, 14405, 14394.5, 14400.1, 14400.2, 14400.3, 14400.2, 3518.83, 337.89, 1290.07, 1290.13, 1290.07, 1330.27, 1330.27, 1330.27, 3714.74, 3402.65, 312.086,
0.654, 3000, 0.01, 46000, 70, 14405.7, 14396.8, 14402.2, 14402.3, 14402.3, 14402.3, 3518.15, 339.581, 1290.68, 1290.75, 1290.68, 1330.27, 1330.27, 1330.27, 3714.52, 3402.47, 312.041,
0.66, 3000, 0.01, 46000, 70, 14406.4, 14399.2, 14404.2, 14404.3, 14404.3, 14404.3, 3517.68, 341.18, 1291.31, 1291.38, 1291.31, 1330.27, 1330.27, 1330.27, 3714.29, 3402.3, 311.992,
0.666, 3000, 0.01, 46000, 70, 14407.2, 14401.8, 14406.2, 14406.3, 14406.3, 14406.3, 3517.42, 342.634, 1291.95, 1291.99, 1291.95, 1330.27, 1330.27, 1330.27, 3714.06, 3402.12, 311.939,
